rank,name,country,born,order,consistory,office,ref.,eligible,pope_no.,pope_name,all_cardinals_cb,all_cardinals_cp,all_cardinals_cd,all_cardinals_total,cardinal_electors_cb,cardinal_electors_cp,cardinal_electors_cd,cardinal_electors_total,particular church_sui iuris,particular church_sui iuris.1,all_cardinals,cardinal_electors,post-nominal,institute_or_society,continent_continent,all_cardinals_number,all_cardinals_percentage,cardinal_electors_number,cardinal_electors_percentage,percentage_of_global_catholic_population_(2023)_percentage_of_global_catholic_population_(2023),continent
209.0,Ladislav Nemet SVD,Serbia[p],7 September 1956 (age 68),CP,7 December 2024 Francis,Archbishop of Belgrade,[220],True,,,,,,,,,,,,,,,,,,,,,,,
210.0,Jaime Spengler OFM,Brazil,6 September 1960 (age 64),CP,7 December 2024 Francis,Archbishop of Porto Alegre,[220],True,,,,,,,,,,,,,,,,,,,,,,,
211.0,Ignace Bessi Dogbo,Ivory Coast,17 August 1961 (age 63),CP,7 December 2024 Francis,Archbishop of Abidjan,[220],True,,,,,,,,,,,,,,,,,,,,,,,
212.0,Jean-Paul Vesco OP,Algeria[q],10 March 1962 (age 63),CP,7 December 2024 Francis,Archbishop of Algiers,[220],True,,,,,,,,,,,,,,,,,,,,,,,
213.0,Dominique Mathieu OFMConv,Iran[r],13 June 1963 (age 61),CP,7 December 2024 Francis,Archbishop of Tehran–Isfahan,[220],True,,,,,,,,,,,,,,,,,,,,,,,
214.0,Roberto Repole,Italy,29 January 1967 (age 58),CP,7 December 2024 Francis,Archbishop of Turin and Bishop of Susa,[220],True,,,,,,,,,,,,,,,,,,,,,,,
215.0,Baldassare Reina,Italy,26 November 1970 (age 54),CP,7 December 2024 Francis,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,[220],True,,,,,,,,,,,,,,,,,,,,,,,
216.0,Frank Leo,Canada,30 June 1971 (age 53),CP,7 December 2024 Francis,Archbishop of Toronto,[220],True,,,,,,,,,,,,,,,,,,,,,,,
217.0,Mykola Bychok CSsR,Australia[s],13 February 1980 (age 45),CP,7 December 2024 Francis,Eparch of Saints Peter and Paul of Melbourne (Ukrainian Greek Catholic Church),[220],True,,,,,,,,,,,,,,,,,,,,,,,
218.0,Domenico Battaglia,Italy,20 January 1963 (age 62),CP,7 December 2024 Francis,Archbishop of Naples,[220],True,,,,,,,,,,,,,,,,,,,,,,,
219.0,Dominique Mamberti,France,7 March 1952 (age 73),CD,14 February 2015 Francis,Prefect of the Supreme Tribunal of the Apostolic Signatura,[221],True,,,,,,,,,,,,,,,,,,,,,,,
220.0,Mario Zenari,Italy,5 January 1946 (age 79),CD,19 November 2016 Francis,Apostolic Nuncio to Syria,[222],True,,,,,,,,,,,,,,,,,,,,,,,
221.0,Kevin Farrell,United States[t],2 September 1947 (age 77),CD,19 November 2016 Francis,"Prefect of the Dicastery for the Laity, Family and Life and Camerlengo of the Holy Roman Church",[223],True,,,,,,,,,,,,,,,,,,,,,,,
222.0,Ernest Simoni*,Albania,18 October 1928 (age 96),CD,19 November 2016 Francis,Priest of the Archdiocese of Shkodër–Pult[u],[224],True,,,,,,,,,,,,,,,,,,,,,,,
223.0,Luis Ladaria Ferrer SJ*,Spain,19 April 1944 (age 81),CD,28 June 2018 Francis,Prefect emeritus of the Dicastery for the Doctrine of the Faith,[225],True,,,,,,,,,,,,,,,,,,,,,,,
224.0,Giovanni Angelo Becciu*[v],Italy,2 June 1948 (age 76),CD,28 June 2018 Francis,Prefect emeritus of the Congregation for the Causes of Saints,[228],True,,,,,,,,,,,,,,,,,,,,,,,
225.0,Konrad Krajewski,Poland,25 November 1963 (age 61),CD,28 June 2018 Francis,Almoner of His Holiness,[229],True,,,,,,,,,,,,,,,,,,,,,,,
226.0,Aquilino Bocos Merino CMF*,Spain,17 May 1938 (age 86),CD,28 June 2018 Francis,Superior General emeritus of the Missionary Sons of the Immaculate Heart of Mary,[230],True,,,,,,,,,,,,,,,,,,,,,,,
227.0,José Tolentino de Mendonça,Portugal,15 December 1965 (age 59),CD,5 October 2019 Francis,Prefect of the Dicastery for Culture and Education,[231],True,,,,,,,,,,,,,,,,,,,,,,,
228.0,Michael Czerny SJ,Canada[w],18 July 1946 (age 78),CD,5 October 2019 Francis,Prefect of the Dicastery for Promoting Integral Human Development,[232],True,,,,,,,,,,,,,,,,,,,,,,,
229.0,Michael Fitzgerald MAfr*,United Kingdom,17 August 1937 (age 87),CD,5 October 2019 Francis,Apostolic Nuncio emeritus to Egypt,[233],True,,,,,,,,,,,,,,,,,,,,,,,
230.0,Mario Grech,Malta,20 February 1957 (age 68),CD,28 November 2020 Francis,Secretary-General of the Synod of Bishops,[234],True,,,,,,,,,,,,,,,,,,,,,,,
231.0,Marcello Semeraro,Italy,22 December 1947 (age 77),CD,28 November 2020 Francis,Prefect of the Dicastery for the Causes of Saints,[235],True,,,,,,,,,,,,,,,,,,,,,,,
232.0,Mauro Gambetti OFMConv,Italy,27 October 1965 (age 59),CD,28 November 2020 Francis,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",[236],True,,,,,,,,,,,,,,,,,,,,,,,
233.0,Silvano Maria Tomasi CS*,Italy,12 October 1940 (age 84),CD,28 November 2020 Francis,Special Delegate to the Sovereign Military Order of Malta,[237],True,,,,,,,,,,,,,,,,,,,,,,,
234.0,Raniero Cantalamessa OFMCap*,Italy,22 July 1934 (age 90),CD,28 November 2020 Francis,Preacher emeritus of the Papal Household[u],[238],True,,,,,,,,,,,,,,,,,,,,,,,
235.0,Enrico Feroci*,Italy,27 August 1940 (age 84),CD,28 November 2020 Francis,"Pastor of the Shrine of Our Lady of Divine Love in Castel di Leva, Rome",[239],True,,,,,,,,,,,,,,,,,,,,,,,
236.0,Arthur Roche,United Kingdom,6 March 1950 (age 75),CD,27 August 2022 Francis,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments,[240],True,,,,,,,,,,,,,,,,,,,,,,,
237.0,Lazarus You Heung-sik,South Korea,17 November 1951 (age 73),CD,27 August 2022 Francis,Prefect of the Dicastery for the Clergy,[241],True,,,,,,,,,,,,,,,,,,,,,,,
238.0,Fernando Vérgez Alzaga LC*,Spain,1 March 1945 (age 80),CD,27 August 2022 Francis,President emeritus of the Pontifical Commission for Vatican City State,[242],True,,,,,,,,,,,,,,,,,,,,,,,
239.0,Gianfranco Ghirlanda SJ*,Italy,5 July 1942 (age 82),CD,27 August 2022 Francis,Patron of the Sovereign Military Order of Malta[u],[243],True,,,,,,,,,,,,,,,,,,,,,,,
240.0,Fortunato Frezza*,Italy,6 February 1942 (age 83),CD,27 August 2022 Francis,Canon of the Chapter of the Papal Basilica of Saint Peter,[244],True,,,,,,,,,,,,,,,,,,,,,,,
241.0,Claudio Gugerotti,Italy,7 October 1955 (age 69),CD,30 September 2023 Francis,Prefect of the Dicastery for the Eastern Churches,[245],True,,,,,,,,,,,,,,,,,,,,,,,
242.0,Víctor Manuel Fernández,Argentina,18 July 1962 (age 62),CD,30 September 2023 Francis,Prefect of the Dicastery for the Doctrine of the Faith,[246],True,,,,,,,,,,,,,,,,,,,,,,,
243.0,Emil Paul Tscherrig,Switzerland,3 February 1947 (age 78),CD,30 September 2023 Francis,Apostolic Nuncio emeritus to Italy and San Marino,[247],True,,,,,,,,,,,,,,,,,,,,,,,
244.0,Christophe Pierre,France,30 January 1946 (age 79),CD,30 September 2023 Francis,Apostolic Nuncio to the United States,[248],True,,,,,,,,,,,,,,,,,,,,,,,
245.0,Ángel Fernández Artime SDB,Spain,21 August 1960 (age 64),CD,30 September 2023 Francis,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,[249],True,,,,,,,,,,,,,,,,,,,,,,,
246.0,Agostino Marchetto*,Italy,28 August 1940 (age 84),CD,30 September 2023 Francis,Secretary emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,[250],True,,,,,,,,,,,,,,,,,,,,,,,
247.0,Luis Pascual Dri OFMCap*,Argentina,17 April 1927 (age 98),CD,30 September 2023 Francis,"Confessor at the Shrine of Our Lady of Pompei [es], Buenos Aires",[251],True,,,,,,,,,,,,,,,,,,,,,,,
248.0,Angelo Acerbi*,Italy,23 September 1925 (age 99),CD,7 December 2024 Francis,Apostolic Nuncio emeritus,[220],True,,,,,,,,,,,,,,,,,,,,,,,
249.0,Rolandas Makrickas,Lithuania,31 January 1972 (age 53),CD,7 December 2024 Francis,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,[220],True,,,,,,,,,,,,,,,,,,,,,,,
250.0,Timothy Radcliffe OP,United Kingdom,22 August 1945 (age 79),CD,7 December 2024 Francis,Master emeritus of the Order of Preachers,[220],True,,,,,,,,,,,,,,,,,,,,,,,
251.0,Fabio Baggio CS,Italy,15 January 1965 (age 60),CD,7 December 2024 Francis,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,[220],True,,,,,,,,,,,,,,,,,,,,,,,
252.0,George Koovakad,India,11 August 1973 (age 51),CD,7 December 2024 Francis,Prefect of the Dicastery for Interreligious Dialogue (Syro-Malabar Catholic Church),[220],True,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,264,John Paul II (1978–2005),5.0,36.0,0.0,41.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,
,,,,,,,,,265,Benedict XVI (2005–2013),4.0,58.0,0.0,62.0,2.0,20.0,0.0,22.0,,,,,,,,,,,,,
,,,,,,,,,266,Francis (2013–2025),4.0,111.0,34.0,149.0,3.0,85.0,20.0,108.0,,,,,,,,,,,,,
,,,,,,,,,Total,Total,13.0,205.0,34.0,252.0,5.0,110.0,20.0,135.0,,,,,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Latin Church (Western),Latin Church (Western),244.0,130.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Chaldean Church,1.0,1.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Ethiopian Church,1.0,1.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Maronite Church,1.0,0.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Romanian Greek Church,1.0,0.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Syro-Malabar Church,2.0,1.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Syro-Malankara Church,1.0,1.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Ukrainian Greek Church,1.0,1.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Eastern Churches,Subtotal,8.0,5.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,Total,Total,252.0,135.0,,,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,CJM,Congregation of Jesus and Mary (Eudists),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,3.0,2.0,CM,"Congregation of the Mission (Vincentians, Lazarists)",,,,,,,
,,,,,,,,True,,,,,,,,,,,,,2.0,0.0,CMF,Congregation of Missionary Sons of the Immaculate Heart of the Blessed Virgin Mary (Claretians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,2.0,1.0,CS,Congregation of the Missionaries of Saint Charles Borromeo (Scalabrinians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,CSC,Congregation of Holy Cross (Holy Cross Fathers),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,2.0,1.0,CSSp,"Congregation of the Holy Spirit (Holy Ghost Fathers, Spiritans)",,,,,,,
,,,,,,,,True,,,,,,,,,,,,,2.0,2.0,CSsR,Congregation of the Most Holy Redeemer (Redemptorists),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,IMC,Institute of Consolata Missionaries,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,ISch,Institute of Schönstatt Fathers,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,ISPX,Pius X Secular Institute,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,IVD,Voluntas Dei Institute,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,LC,Congregation of the Legionaries of Christ,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,MAfr,Missionaries of Africa (White Fathers),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,MSC,Missionaries of the Sacred Heart,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,OAR,Order of Augustinian Recollects,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,OCD,Order of Discalced Carmelites,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,OCist,Order of Cistercians,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,5.0,4.0,OFM,Order of Friars Minor (Franciscans),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,5.0,1.0,OFMCap,Order of Friars Minor Capuchin (Capuchins),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,3.0,3.0,OFMConv,Order of Friars Minor Conventual (Conventual Franciscans),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,OMI,Missionary Oblates of Mary Immaculate (Oblates),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,OMM,Mariamite Maronite Order (Aleppians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,5.0,3.0,OP,Order of Preachers (Dominicans),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,1.0,OSA,Order of Saint Augustine (Augustinians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,1.0,0.0,PSS,Society of the Priests of Saint Sulpice (Sulpicians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,10.0,5.0,SDB,Society of Saint Francis de Sales (Salesians),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,9.0,4.0,SJ,Society of Jesus (Jesuits),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,2.0,2.0,SVD,Society of the Divine Word (Verbites),,,,,,,
,,,,,,,,True,,,,,,,,,,,,,186.0,101.0,,Secular clergy,,,,,,,
,,,,,,,,True,,,,,,,,,,,,,252.0,135.0,Total,Total,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Africa,29.0,11.5%,18.0,13.3%,20.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,North America,36.0,14.3%,20.0,14.8%,20.4%,
,,,,,,,,,,,,,,,,,,,,,,,,,South America,32.0,12.7%,17.0,12.6%,27.4%,
,,,,,,,,,,,,,,,,,,,,,,,,,Asia,37.0,14.7%,23.0,17.0%,11.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,Europe,114.0,45.2%,53.0,40.0%,20.4%,
,,,,,,,,,,,,,,,,,,,,,,,,,Oceania,4.0,1.6%,4.0,3.0%,0.8%,
,,,,,,,,,,,,,,,,,,,,,,,,,Total,252.0,100.0%,135.0,100.0%,100.0%,
,,Albania,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Algeria,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Argentina,,,,,,True,,,,,,,,,,,,,8.0,4.0,,,,,,,,,South America
,,Australia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Oceania
,,Austria,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Bangladesh,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Asia
,,Belgium,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Bolivia,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,South America
,,Bosnia and Herzegovina,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Brazil,,,,,,True,,,,,,,,,,,,,8.0,7.0,,,,,,,,,South America
,,Burkina Faso,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Canada,,,,,,True,,,,,,,,,,,,,5.0,4.0,,,,,,,,,North America
,,Cape Verde,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Central African Republic,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Chile,,,,,,True,,,,,,,,,,,,,4.0,1.0,,,,,,,,,South America
,,Colombia,,,,,,True,,,,,,,,,,,,,3.0,1.0,,,,,,,,,South America
,,Cuba,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,North America
,,Democratic Republic of the Congo,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Croatia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Czech Republic,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Dominican Republic,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,North America
,,East Timor,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Ecuador,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,South America
,,El Salvador,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,North America
,,Ethiopia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,France,,,,,,True,,,,,,,,,,,,,8.0,5.0,,,,,,,,,Europe
,,Germany,,,,,,True,,,,,,,,,,,,,6.0,3.0,,,,,,,,,Europe
,,Ghana,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Guatemala,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,North America
,,Guinea,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Haiti,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,North America
,,Honduras,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,North America
,,Hong Kong (China)[f],,,,,,True,,,,,,,,,,,,,3.0,1.0,,,,,,,,,Asia
,,Hungary,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,India,,,,,,True,,,,,,,,,,,,,6.0,4.0,,,,,,,,,Asia
,,Indonesia,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Asia
,,Iran,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Iraq,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Ireland,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Italy,,,,,,True,,,,,,,,,,,,,51.0,17.0,,,,,,,,,Europe
,,Ivory Coast,,,,,,True,,,,,,,,,,,,,2.0,2.0,,,,,,,,,Africa
,,Japan,,,,,,True,,,,,,,,,,,,,2.0,2.0,,,,,,,,,Asia
,,Jerusalem[n],,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Kenya,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,South Korea,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Asia
,,Laos,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Asia
,,Latvia,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Lebanon,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Asia
,,Lithuania,,,,,,True,,,,,,,,,,,,,3.0,1.0,,,,,,,,,Europe
,,Luxembourg,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Madagascar,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Malaysia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Mali,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Malta,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Mauritius,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Mexico,,,,,,True,,,,,,,,,,,,,6.0,2.0,,,,,,,,,North America
,,Mongolia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Morocco,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Mozambique,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Myanmar,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Netherlands,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,New Zealand,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Oceania
,,Nicaragua,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,North America
,,Nigeria,,,,,,True,,,,,,,,,,,,,4.0,1.0,,,,,,,,,Africa
,,Pakistan,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Panama,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,North America
,,Paraguay,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,South America
,,Papua New Guinea,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Oceania
,,Peru,,,,,,True,,,,,,,,,,,,,3.0,1.0,,,,,,,,,South America
,,Philippines,,,,,,True,,,,,,,,,,,,,5.0,3.0,,,,,,,,,Asia
,,Poland,,,,,,True,,,,,,,,,,,,,5.0,4.0,,,,,,,,,Europe
,,Portugal,,,,,,True,,,,,,,,,,,,,6.0,4.0,,,,,,,,,Europe
,,Romania,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,Rwanda,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Senegal,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Serbia,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Singapore,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Slovenia,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Europe
,,South Africa,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Africa
,,South Sudan,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Africa
,,Spain,,,,,,True,,,,,,,,,,,,,13.0,5.0,,,,,,,,,Europe
,,Sri Lanka,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Sudan,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Sweden,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Switzerland,,,,,,True,,,,,,,,,,,,,2.0,2.0,,,,,,,,,Europe
,,Tanzania,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Africa
,,Thailand,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Asia
,,Tonga,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Oceania
,,Uganda,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,United Kingdom,,,,,,True,,,,,,,,,,,,,4.0,3.0,,,,,,,,,Europe
,,United States,,,,,,True,,,,,,,,,,,,,17.0,10.0,,,,,,,,,North America
,,Uruguay,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,South America
,,Venezuela,,,,,,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,South America
,,Vietnam,,,,,,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,Asia
,,Total,,,,,,True,,,,,,,,,,,,,252.0,135.0,,,,,,,,,Total
